key,tnea_code,college_name
59,1214,"Sakthi Mariamman Engineering College, Narayanasamy Nagar,
Thandalam, Chennai 602105"
60,1216,"Saveetha Engineering College, Thandalam, Sriperumpudur Taluk,
Kancheepuram District 602105"
61,1217,"Sree Sastha Institute of Engineering and Technology,
Chembarambakkam, Chennai 600123"
62,1218,"Sri Muthukumaran Institute of Technology, Near Mangadu,
Chennai 600069"
63,1219,"Sri Venkateswara College of Engineering, Post Bag No.1,
Chennai-Bengaluru High Road, Pennalur, Irungattukottai S.O.,
Sriperumbudur Taluk, Kancheepuram District 602117"
64,1221,"Jaya College of Engineering and Technology, Parivakkam,
Poonamallee, Chennai 600056"
65,1222,"P B College of Engineering, Irungkattukottai, Sriperumpudur
Taluk, Kancheepuram District 602105"
66,1225,"Loyola Institute of Technology, Mevaloorkuppam, B Village,
Palanchoor, Nazarethpet Post, Chennai 600123"
67,1226,"P T Lee Chengalvaraya Naicker College of Engineering and
Technology, Oovery, Veliyur Post, Kancheepuram District 631
502"
68,1228,"Alpha College of Engineering, Dr. Grace George Nagar, Udayavar
Koil Street, Thirumazhisai, Poonamalle, Chennai 602107"
69,1229,"Indira Institute of Engineering and Technology, VGR Gardens,
Pandur, Thiruvallur District 631203"
70,1230,"Apollo Engineering College, Mevaloorkuppam, Valarpuram Post,
Sriperumpudur, Kancheepuram District 602105"
71,1231,"Panimalar Institute of Technology, Nazarethpet, Poonamallee,
Chennai 602103"
72,1232,"A R M College of Engineering and Technology, Sattamangalam,
Maraimalainagar, Kancheepuram District 603209"
73,1233,"Adhi College of Engineering and Technology, Pazhayaseevaram,
Madura Sankarapuram Village, Kancheepuram District 631605"
74,1234,"Indira Gandhi College of Engineering and Technology for
Women, Chengalpattu-Kancheepuram High Road, Kancheepuram
District 603101"
75,1235,"JEI Mathaajee College of Engineering, Vishakandikupam Village,
Kancheepuram District 631552"
76,1237,"Velammal Institute of Technology, Chennai-Kolkatta Highway,
Panchetti Village, Ponneri Taluk, Thiruvallur District 601204"
77,1238,"GRT Institute of Engineering and Technology, GRT Mahalakshmi
Nagar, Chennai-Tirupathi Highway, Tiruttani Taluk, Thiruvallur
District 631209"
